,train,es
0,0.2749422438721596,0.07361641924806578
1,0.059258135283655824,0.04504171566080789
2,0.04082441703958635,0.039221588949006764
3,0.03771689531085106,0.060463842745563275
4,0.02608919693575318,0.03773871567798197
5,0.018034855639335393,0.05136788697722527
6,0.02107414594879422,0.05482443700638366
7,0.013073710722821008,0.06872289879379374
8,0.01785309231169822,0.058926899400970074
9,0.036660820236048386,0.05446879236004922
10,0.02642064177609427,0.05294727454589894
11,0.027879580601550526,0.05414285507674665
12,0.01015093057439829,0.03692093107622151
13,0.010513192111148508,0.0775016128461456
14,0.013271464066798673,0.05954339622505274
15,0.011370444691766622,0.05497650934155265
