number,value,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_noise_factor,params_noise_type,params_patience
0,1.8942641877678583,0 days 03:30:56.247058,16,0.0,0.0008180884032612954,0.4,masking,12
1,0.9053196614984975,0 days 02:49:56.854068,128,0.5,0.0008348380745839198,0.5,masking,8
2,0.9689335192892018,0 days 00:27:56.438698,128,0.0,0.004246324055476295,0.4,masking,6
3,0.880370075914589,0 days 01:24:41.568984,512,0.2,0.003180727946637655,0.4,masking,12
4,0.7580709371723363,0 days 03:29:37.018851,16,0.2,0.0006015541916016075,0.2,masking,14
5,0.7382354508603474,0 days 00:40:16.521204,512,0.30000000000000004,0.0002649346157080524,0.2,masking,5
6,0.9698293167592698,0 days 00:43:29.696081,128,0.30000000000000004,0.0027759805793995456,0.1,gaussian,10
7,0.767194421822727,0 days 01:13:20.855409,128,0.1,0.0021626143564355063,0.2,masking,13
8,1.5477435466770266,0 days 09:33:26.135808,16,0.0,0.0007527304447808748,0.4,masking,15
9,0.6324455300183913,0 days 01:11:30.516156,128,0.1,0.0011010682478180228,0.1,masking,10
10,0.6326340943018656,0 days 02:42:36.685829,256,0.5,0.00012372989324160315,0.1,gaussian,9
11,0.6338391677085905,0 days 01:30:29.348986,256,0.5,0.00012940224664565437,0.1,gaussian,9
12,0.9725331923563698,0 days 00:36:03.124954,256,0.4,0.009033318699645116,0.1,gaussian,8
13,0.4208621131092018,0 days 07:17:10.558417,64,0.1,0.00031670400571268055,0.2,gaussian,11
14,0.4483626693864061,0 days 05:28:39.139217,64,0.1,0.0003518875056297131,0.30000000000000004,gaussian,11
