number,value,duration,params_batch_size,params_dropout_rate,params_learning_rate,params_noise_factor,params_noise_type
0,0.11208302157372832,0 days 01:24:29.127987,16,0.5,0.004141391250893105,0.5,masking
1,0.11099753876078336,0 days 00:54:54.899751,64,0.4,0.0038527365865762674,0.2,gaussian
2,0.07796719748360408,0 days 01:46:08.516770,128,0.30000000000000004,0.00018049003332683137,0.4,gaussian
3,0.11521593111943364,0 days 00:51:21.216339,32,0.30000000000000004,0.002366329146086591,0.2,masking
4,0.11242119871772667,0 days 02:34:09.210735,64,0.2,0.007535990093536603,0.5,masking
5,0.08718978640247903,0 days 01:39:29.718525,64,0.2,0.001094684813287562,0.2,gaussian
6,0.10484324013843493,0 days 01:13:02.686089,32,0.5,0.00011338800079472567,0.4,masking
7,0.12063753634229755,0 days 00:43:50.969452,512,0.1,0.002926989512746449,0.30000000000000004,gaussian
8,0.08056659866214712,0 days 01:26:43.603486,64,0.30000000000000004,0.0002031424215662481,0.5,gaussian
9,0.10819334045498874,0 days 00:49:16.614888,128,0.4,0.001935258398771528,0.30000000000000004,masking
10,0.07768913701338072,0 days 01:39:35.244991,128,0.1,0.0003773439686238965,0.1,gaussian
11,0.07472848768942485,0 days 01:46:41.833240,128,0.1,0.0003690421768803872,0.1,gaussian
12,0.07569660667806649,0 days 01:46:04.698348,128,0.1,0.00043434800614341264,0.1,gaussian
13,0.08826268937959639,0 days 01:38:51.856854,256,0.1,0.0005197514758410939,0.1,gaussian
14,0.0771772159026367,0 days 02:13:35.855852,128,0.2,0.0005873481514025742,0.1,gaussian
